daytime,TP_rate,FP_rate,TN_rate,FN_rate,accuracy,loss,f1_score,benign_count,malicious_count,flow_num,benign_rate,nmr_fn_rate,nmr_benign_rate
2023-05-15 06:45:24,0.9491869918699187,1.0,0.0,0.0508130081300813,0.9377510040160643,0.5384919112838291,0.9678756476683937,12,984,996,0.012048192771084338,0.29165446559297215,0.4379518072289157
2023-05-15 07:45:24,0.9535374868004224,1.0,0.0,0.046462513199577615,0.940625,0.5287281387396645,0.9694041867954911,13,947,960,0.013541666666666667,0.28111273792093705,0.4922395833333334
2023-05-15 08:45:24,0.9622266401590457,1.0,0.0,0.03777335984095427,0.9499509322865555,0.5325529748023077,0.9743331655762456,13,1006,1019,0.012757605495583905,0.29838945827232793,0.463738959764475
2023-05-15 09:45:24,0.968421052631579,1.0,0.0,0.031578947368421054,0.9597615499254843,0.5234604277179608,0.979467680608365,12,1330,1342,0.00894187779433681,0.39297218155197655,0.32503725782414306
2023-05-15 10:45:24,0.9780033840947546,1.0,0.0,0.021996615905245348,0.9665551839464883,0.5228062200556611,0.9829931972789115,14,1182,1196,0.011705685618729096,0.3502196193265007,0.42550167224080265
2023-05-15 11:45:24,0.9646672144617913,1.0,0.0,0.03533278553820871,0.9544715447154472,0.5298510493138722,0.9767054908485857,13,1217,1230,0.01056910569105691,0.36017569546120054,0.3841869918699187
2023-05-15 12:45:24,0.9717891610987379,1.0,0.0,0.028210838901262063,0.9625,0.5299494371220096,0.9808917197452229,13,1347,1360,0.009558823529411765,0.39824304538799415,0.3474632352941177
2023-05-15 13:45:24,0.974025974025974,1.0,0.0,0.025974025974025976,0.9644478063540091,0.531283303739685,0.9819021948402002,13,1309,1322,0.009833585476550681,0.3871156661786237,0.3574508320726173
2023-05-15 14:45:24,0.9681528662420382,1.0,0.0,0.03184713375796178,0.9568345323741008,0.5170811049811049,0.9779411764705882,13,1099,1112,0.011690647482014389,0.3256222547584187,0.424955035971223
2023-05-15 15:45:24,0.9694214876033058,1.0,0.0,0.030578512396694214,0.9614754098360656,0.5337604020507675,0.9803593815294609,10,1210,1220,0.00819672131147541,0.3572474377745241,0.29795081967213116
2023-05-15 16:45:24,0.9606147934678194,1.0,0.0,0.0393852065321806,0.9478672985781991,0.5297750369564256,0.9732360097323601,14,1041,1055,0.013270142180094787,0.3089311859443631,0.4823696682464455
2023-05-15 17:45:24,0.9754322111010009,1.0,0.0,0.02456778889899909,0.963162623539982,0.5176582784376276,0.9812356979405035,14,1099,1113,0.012578616352201259,0.32591508052708634,0.4572327044025158
2023-05-15 18:45:24,0.9688109161793372,1.0,0.0,0.031189083820662766,0.9576107899807321,0.5215710110672815,0.9783464566929134,12,1026,1038,0.011560693641618497,0.30395314787701316,0.42023121387283235
2023-05-15 19:45:24,0.9544444444444444,1.0,0.0,0.04555555555555556,0.9418859649122807,0.52940829651879,0.9700734048560136,12,900,912,0.013157894736842105,0.26705710102489016,0.47828947368421054
2023-05-15 20:45:24,0.9699115044247788,1.0,0.0,0.03008849557522124,0.9588801399825022,0.5361479339038394,0.9790084859312193,13,1130,1143,0.011373578302712161,0.3346998535871156,0.4134295713035871
2023-05-15 21:45:24,0.9761904761904762,1.0,0.0,0.023809523809523808,0.967275494672755,0.5342690257665803,0.9833655705996132,12,1302,1314,0.0091324200913242,0.3847730600292826,0.3319634703196347
2023-05-15 22:45:24,0.9723018147086915,1.0,0.0,0.027698185291308502,0.9594721960414703,0.5322921073268958,0.9793169793169794,14,1047,1061,0.013195098963242224,0.3106881405563689,0.4796418473138549
2023-05-15 23:45:24,0.9520833333333333,1.0,0.0,0.04791666666666667,0.9403292181069959,0.5354513255983053,0.9692470837751855,12,960,972,0.012345679012345678,0.28462664714494873,0.4487654320987654
2023-05-16 00:45:24,0.9648506151142355,1.0,0.0,0.0351493848857645,0.953125,0.5426723124956631,0.976,14,1138,1152,0.012152777777777778,0.3373352855051244,0.4417534722222222
2023-05-16 01:45:24,0.9648798521256932,1.0,0.0,0.03512014787430684,0.9542961608775137,0.5385461879496345,0.9766136576239476,12,1082,1094,0.010968921389396709,0.32035139092240117,0.39872029250457036
2023-05-16 02:45:24,0.9672293942403177,1.0,0.0,0.03277060575968222,0.9567779960707269,0.5320370329416597,0.9779116465863453,11,1007,1018,0.010805500982318271,0.2980966325036603,0.39277996070726917
2023-05-16 03:45:24,0.9703225806451613,1.0,0.0,0.02967741935483871,0.9555273189326556,0.5320362396891322,0.9772579597141,12,775,787,0.015247776365946633,0.23045387994143482,0.5542566709021601
2023-05-16 04:45:24,0.9696233292831106,1.0,0.0,0.030376670716889428,0.9522673031026253,0.5338258801325806,0.9755501222493888,15,823,838,0.017899761336515514,0.2453879941434846,0.6506563245823389
2023-05-16 05:45:24,0.9607097591888466,1.0,0.0,0.03929024081115336,0.9463171036204744,0.5383732405865962,0.9724182168056447,12,789,801,0.0149812734082397,0.23455344070278183,0.5445692883895131
2023-05-16 06:45:24,0.9691358024691358,1.0,0.0,0.030864197530864196,0.9573170731707317,0.5313650541876002,0.9781931464174455,12,972,984,0.012195121951219513,0.28814055636896047,0.4432926829268293
2023-05-16 07:45:24,0.9536817102137767,1.0,0.0,0.04631828978622328,0.9380841121495327,0.5347227908758204,0.9680530440024111,14,842,856,0.016355140186915886,0.25065885797950216,0.5945093457943925
2023-05-16 08:45:24,0.9679558011049724,1.0,0.0,0.032044198895027624,0.955288985823337,0.5291363237570847,0.9771332961517011,12,905,917,0.013086150490730643,0.26852122986822835,0.4756815703380589
2023-05-16 09:45:24,0.9628796400449944,1.0,0.0,0.03712035995500562,0.9479512735326688,0.5166035109190246,0.9732802728823196,14,889,903,0.015503875968992248,0.26442166910688136,0.5635658914728683
2023-05-16 10:45:24,0.9655555555555555,1.0,0.0,0.034444444444444444,0.9528508771929824,0.5259289571313,0.9758562605277934,12,900,912,0.013157894736842105,0.26705710102489016,0.47828947368421054
2023-05-16 11:45:24,0.9452332657200812,1.0,0.0,0.05476673427991886,0.932,0.5116472093980362,0.9648033126293996,14,986,1000,0.014,0.2928257686676427,0.5089
2023-05-16 12:45:24,0.9637526652452025,1.0,0.0,0.03624733475479744,0.9525816649104321,0.5197246273130831,0.9757150566648678,11,938,949,0.011591148577449948,0.27789165446559294,0.4213382507903056
2023-05-16 13:45:24,0.9638429752066116,1.0,0.0,0.03615702479338843,0.9530132788559755,0.5312690378226133,0.9759414225941423,11,968,979,0.011235955056179775,0.2866764275256222,0.4084269662921348
2023-05-16 14:45:24,0.9766081871345029,1.0,0.0,0.023391812865497075,0.9653179190751445,0.5244635715400037,0.9823529411764705,12,1026,1038,0.011560693641618497,0.30395314787701316,0.42023121387283235
2023-05-16 15:45:24,0.9694989106753813,1.0,0.0,0.030501089324618737,0.9597411933860532,0.5382223431897571,0.979457079970653,14,1377,1391,0.010064701653486701,0.407320644216691,0.3658519051042416
2023-05-16 16:45:24,0.9838926174496644,1.0,0.0,0.016107382550335572,0.9644736842105263,0.5435540492486436,0.9819156061620897,15,745,760,0.019736842105263157,0.22254758418740847,0.7174342105263157
2023-05-16 17:45:24,0.9592430858806404,1.0,0.0,0.040756914119359534,0.950937950937951,0.5217599036841366,0.9748520710059172,6,687,693,0.008658008658008658,0.2029282576866764,0.31471861471861473
2023-05-16 18:45:24,0.9690501600853789,1.0,0.0,0.030949839914621132,0.9628844114528102,0.5198148294035982,0.9810913019989195,6,937,943,0.006362672322375398,0.2761346998535871,0.23128313891834573
2023-05-16 19:45:24,0.9757894736842105,1.0,0.0,0.024210526315789474,0.9696652719665272,0.513855050127414,0.984599044078598,6,950,956,0.006276150627615063,0.27994143484626643,0.22813807531380753
2023-05-16 20:45:24,0.9581958195819582,1.0,0.0,0.041804180418041806,0.9498364231188658,0.515154552026194,0.9742729306487695,8,909,917,0.008724100327153763,0.26852122986822835,0.3171210468920393
2023-05-16 21:45:24,0.9663865546218487,1.0,0.0,0.03361344537815126,0.9613375130616509,0.5169275495308066,0.9802876931273309,5,952,957,0.00522466039707419,0.2802342606149341,0.18991640543364682
2023-05-16 22:45:24,0.9509803921568627,1.0,0.0,0.049019607843137254,0.9448051948051948,0.5225295021523261,0.9716193656093489,6,918,924,0.006493506493506494,0.27057101024890184,0.23603896103896108
2023-05-16 23:45:24,0.967849223946785,1.0,0.0,0.03215077605321508,0.961453744493392,0.5101130278743952,0.9803481190342505,6,902,908,0.006607929515418502,0.2658857979502196,0.24019823788546257
2023-05-17 00:45:24,0.9670122525918945,1.0,0.0,0.03298774740810556,0.9615745079662605,0.5335355591443193,0.9804108934543717,6,1061,1067,0.005623242736644799,0.31244509516837476,0.20440487347703845
2023-05-17 01:45:24,0.9500978473581213,1.0,0.0,0.049902152641878667,0.9445525291828794,0.5281198782811501,0.9714857428714357,6,1022,1028,0.005836575875486381,0.30102489019033674,0.21215953307392998
2023-05-17 02:45:24,0.97578125,1.0,0.0,0.02421875,0.9704739704739704,0.5253073888198695,0.9850157728706624,7,1280,1287,0.005439005439005439,0.37686676427525617,0.19770784770784772
2023-05-17 03:45:24,0.9664107485604606,1.0,0.0,0.03358925143953935,0.9599618684461392,0.5285304167247538,0.9795719844357976,7,1042,1049,0.00667302192564347,0.3071742313323572,0.24256434699714016
2023-05-17 04:45:24,0.9439359267734554,1.0,0.0,0.05606407322654462,0.9375,0.5359591813943525,0.967741935483871,6,874,880,0.006818181818181818,0.2576866764275256,0.24784090909090908
2023-05-17 05:45:24,0.9680264608599779,1.0,0.0,0.03197353914002205,0.9616648411829135,0.5290887495353412,0.9804578447794529,6,907,913,0.0065717415115005475,0.2673499267935578,0.23888280394304492
2023-05-17 06:45:24,0.9606791778373548,1.0,0.0,0.03932082216264522,0.9555555555555556,0.5318415840265647,0.9772727272727273,6,1119,1125,0.005333333333333333,0.329428989751098,0.19386666666666666
2023-05-17 07:45:24,0.9656771799628943,1.0,0.0,0.03432282003710575,0.9594470046082949,0.5275370121230448,0.9793038570084666,7,1078,1085,0.0064516129032258064,0.31771595900439237,0.23451612903225807
2023-05-17 08:45:24,0.9587264150943396,1.0,0.0,0.041273584905660375,0.9508771929824561,0.523148507551048,0.9748201438848921,7,848,855,0.008187134502923977,0.25036603221083453,0.2976023391812866
2023-05-17 09:45:24,0.958103638368247,1.0,0.0,0.04189636163175303,0.9518072289156626,0.5155110623308798,0.9753086419753086,6,907,913,0.0065717415115005475,0.2673499267935578,0.23888280394304492
2023-05-17 10:45:24,0.967391304347826,1.0,0.0,0.03260869565217391,0.960431654676259,0.5283959510712763,0.9798165137614679,6,828,834,0.007194244604316547,0.24421669106881405,0.2615107913669065
2023-05-17 11:45:24,0.9607609988109393,1.0,0.0,0.039239001189060645,0.9517078916372202,0.5191270240431834,0.9752564876282438,8,841,849,0.009422850412249705,0.24860907759882866,0.34252061248527677
2023-05-17 12:45:24,0.9742489270386266,1.0,0.0,0.02575107296137339,0.9680170575692963,0.5076056355504606,0.9837486457204767,6,932,938,0.006396588486140725,0.2746705710102489,0.23251599147121535
2023-05-17 13:45:24,0.9594755661501788,1.0,0.0,0.04052443384982122,0.9526627218934911,0.5207928677414151,0.9757575757575757,6,839,845,0.007100591715976331,0.2474377745241581,0.25810650887573966
2023-05-17 14:45:24,0.9783480352846833,1.0,0.0,0.02165196471531676,0.9721115537848606,0.5390028570425686,0.9858585858585859,8,1247,1255,0.006374501992031873,0.36749633967789164,0.2317131474103586
2023-05-17 15:45:24,0.9615819209039548,1.0,0.0,0.0384180790960452,0.9551066217732884,0.5324698519167451,0.9770378874856487,6,885,891,0.006734006734006734,0.2609077598828697,0.2447811447811448
2023-05-17 16:45:24,0.9400206825232679,1.0,0.0,0.05997931747673216,0.9351851851851852,0.5218281684489686,0.9665071770334929,5,967,972,0.0051440329218107,0.28462664714494873,0.18698559670781895
2023-05-17 17:45:24,0.9489456159822419,1.0,0.0,0.051054384017758046,0.9405940594059405,0.5212790260641265,0.9693877551020408,8,901,909,0.0088008800880088,0.26617862371888723,0.3199119911991199
2023-05-17 18:45:24,0.9683377308707124,1.0,0.0,0.0316622691292876,0.963254593175853,0.5334757904831537,0.9812834224598931,6,1137,1143,0.005249343832020997,0.3346998535871156,0.19081364829396327
2023-05-17 19:45:24,0.9521829521829522,1.0,0.0,0.04781704781704782,0.9462809917355371,0.5206276043829364,0.9723991507430998,6,962,968,0.006198347107438017,0.28345534407027817,0.22530991735537192
2023-05-17 20:45:24,0.9610526315789474,1.0,0.0,0.03894736842105263,0.9530271398747391,0.5149305950421111,0.9759486905398183,8,950,958,0.008350730688935281,0.28052708638360174,0.30354906054279746
2023-05-17 21:45:24,0.972972972972973,1.0,0.0,0.02702702702702703,0.9673704414587332,0.5099982073117136,0.9834146341463414,6,1036,1042,0.005758157389635317,0.3051244509516837,0.2093090211132438
2023-05-17 22:45:24,0.9690376569037656,1.0,0.0,0.03096234309623431,0.9641965029142381,0.5265858603377405,0.9817719372615515,6,1195,1201,0.004995836802664446,0.35168374816983894,0.18159866777685263
2023-05-17 23:45:24,0.9593188268684958,1.0,0.0,0.04068117313150426,0.9539040451552211,0.5202603394946614,0.9764082811747713,6,1057,1063,0.005644402634054563,0.3112737920937042,0.20517403574788337
2023-05-18 00:45:24,0.9586016559337627,1.0,0.0,0.04139834406623735,0.9524680073126143,0.5304962950205658,0.9756554307116105,7,1087,1094,0.006398537477148081,0.32035139092240117,0.23258683729433274
2023-05-18 01:45:24,0.9556541019955654,1.0,0.0,0.04434589800443459,0.9482948294829483,0.5210070261644179,0.9734613212874083,7,902,909,0.007700770077007701,0.26617862371888723,0.2799229922992299
2023-05-18 02:45:24,0.960741548527808,1.0,0.0,0.03925845147219193,0.9544962080173348,0.5150357134346243,0.9767184035476718,6,917,923,0.0065005417118093175,0.2702781844802342,0.2362946912242687
2023-05-18 03:45:24,0.9648197009674582,1.0,0.0,0.03518029903254178,0.9597550306211724,0.5296951724238713,0.9794642857142857,6,1137,1143,0.005249343832020997,0.3346998535871156,0.19081364829396327
2023-05-18 04:45:24,0.9585211902614968,1.0,0.0,0.04147880973850315,0.9516562220232766,0.5328099610112447,0.9752293577981651,8,1109,1117,0.007162041181736795,0.3270863836017569,0.26034019695613253
2023-05-18 05:45:24,0.9435146443514645,1.0,0.0,0.056485355648535567,0.9376299376299376,0.53379493985631,0.9678111587982833,6,956,962,0.006237006237006237,0.2816983894582723,0.22671517671517674
2023-05-18 06:45:24,0.9594339622641509,1.0,0.0,0.040566037735849055,0.9540337711069419,0.5188640278063698,0.9764762361977917,6,1060,1066,0.005628517823639775,0.31215226939970714,0.20459662288930583
2023-05-18 07:45:24,0.9521531100478469,1.0,0.0,0.04784688995215311,0.9467174119885823,0.5317140696619728,0.9726295210166178,6,1045,1051,0.005708848715509039,0.30775988286969247,0.2075166508087536
2023-05-18 08:45:24,0.9635237439779766,1.0,0.0,0.0364762560220234,0.9582477754962354,0.5332838661747767,0.9786787836420832,8,1453,1461,0.0054757015742642025,0.427818448023426,0.19904175222450377
2023-05-18 09:45:24,0.9551569506726457,1.0,0.0,0.04484304932735426,0.9500446030330062,0.5143860284161654,0.9743824336688015,6,1115,1121,0.0053523639607493305,0.32825768667642746,0.19455842997323816
2023-05-18 10:45:24,0.9683257918552036,1.0,0.0,0.03167420814479638,0.963963963963964,0.526743092130727,0.981651376146789,6,1326,1332,0.0045045045045045045,0.3900439238653001,0.16373873873873873
2023-05-18 11:45:24,0.9674728940783986,1.0,0.0,0.03252710592160134,0.9626556016597511,0.5161883596028845,0.9809725158562368,6,1199,1205,0.004979253112033195,0.3528550512445095,0.18099585062240664
2023-05-18 12:45:24,0.9690301548492257,1.0,0.0,0.030969845150774247,0.9643146796431468,0.5061718608128929,0.9818331957060281,6,1227,1233,0.004866180048661801,0.3610541727672035,0.17688564476885646
2023-05-18 13:45:24,0.9764309764309764,1.0,0.0,0.02356902356902357,0.9725016767270288,0.5160896117175009,0.9860591635498129,6,1485,1491,0.004024144869215292,0.43660322108345534,0.1462776659959759
2023-05-18 14:45:24,0.952639751552795,1.0,0.0,0.04736024844720497,0.9467592592592593,0.5317776286947108,0.9726516052318668,8,1288,1296,0.006172839506172839,0.379502196193265,0.2243827160493827
2023-05-18 15:45:24,0.9633204633204633,1.0,0.0,0.03667953667953668,0.9577735124760077,0.5344943930461669,0.9784313725490196,6,1036,1042,0.005758157389635317,0.3051244509516837,0.2093090211132438
2023-05-18 16:45:24,0.9510240427426536,1.0,0.0,0.048975957257346395,0.9468085106382979,0.5353337494405633,0.9726775956284153,5,1123,1128,0.004432624113475178,0.33030746705710096,0.1611258865248227
2023-05-18 17:45:24,0.9594916600476568,1.0,0.0,0.04050833995234313,0.9549407114624506,0.5173324234240583,0.9769510715729883,6,1259,1265,0.0047430830039525695,0.37042459736456806,0.1724110671936759
2023-05-18 18:45:24,0.944015444015444,1.0,0.0,0.055984555984555984,0.9367816091954023,0.5393466713898128,0.9673590504451038,8,1036,1044,0.007662835249042145,0.305710102489019,0.278544061302682
2023-05-18 19:45:24,0.9300699300699301,1.0,0.0,0.06993006993006994,0.9252173913043479,0.5402473188319502,0.9611562782294489,6,1144,1150,0.0052173913043478265,0.3367496339677891,0.1896521739130435
2023-05-18 20:45:24,0.9464763603925067,1.0,0.0,0.05352363960749331,0.9414374445430346,0.5213090327139769,0.9698354661791591,6,1121,1127,0.005323868677905945,0.33001464128843333,0.1935226264418811
2023-05-18 21:45:24,0.9545782263878875,1.0,0.0,0.04542177361211247,0.9491039426523298,0.5325430641375876,0.9738874586244943,8,1387,1395,0.005734767025089606,0.4084919472913616,0.20845878136200718
2023-05-18 22:45:24,0.9587837837837838,1.0,0.0,0.04121621621621622,0.9549125168236877,0.5337533190822985,0.9769363166953529,6,1480,1486,0.004037685060565276,0.4351390922401171,0.1467698519515478
2023-05-18 23:45:24,0.9496898690558235,1.0,0.0,0.05031013094417643,0.9457789979409746,0.5393092222169787,0.9721340388007055,6,1451,1457,0.004118050789293068,0.42664714494875544,0.14969114619080304
2023-05-19 00:45:24,0.9471153846153846,1.0,0.0,0.052884615384615384,0.9418326693227091,0.5415126834590721,0.9700451374640952,7,1248,1255,0.005577689243027889,0.36749633967789164,0.20274900398406376
2023-05-19 01:45:24,0.9686346863468634,1.0,0.0,0.03136531365313653,0.966405890473999,0.5621470576665906,0.9829159840861221,5,2168,2173,0.002300966405890474,0.6363103953147876,0.08364012885411873
2023-05-19 02:45:24,0.9814029363784665,1.0,0.0,0.018597063621533443,0.9794855096059916,0.5781815750138806,0.9896364533640402,6,3065,3071,0.0019537609899055682,0.8992679355783307,0.0710192119830674
2023-05-19 03:45:24,0.9821370574861968,1.0,0.0,0.017862942513803184,0.980226904376013,0.5760610291338921,0.9900147323620887,6,3079,3085,0.0019448946515397082,0.9033674963396778,0.0706969205834684
2023-05-19 04:45:24,0.9775318578135479,1.0,0.0,0.022468142186452045,0.9755689424364123,0.5747040840218278,0.9876334067423344,6,2982,2988,0.002008032128514056,0.8749633967789164,0.07299196787148594
2023-05-19 05:45:24,0.9767287234042553,1.0,0.0,0.02327127659574468,0.9747843397478434,0.5808578032987742,0.9872311827956989,6,3008,3014,0.0019907100199071004,0.8825768667642752,0.0723623092236231
2023-05-19 06:45:24,0.9798331015299027,1.0,0.0,0.020166898470097356,0.9774540409295872,0.5750979989903435,0.9885984914927206,7,2876,2883,0.002428026361429067,0.844216691068814,0.08825875823794659
