daytime,TP_rate,FP_rate,TN_rate,FN_rate,accuracy,loss,f1_score,benign_count,malicious_count,flow_num,benign_rate,nmr_flow_num_rate,nmr_benign_rate
2022-08-03 20:14:05,0.6081081081081081,,,0.3918918918918919,0.6081081081081081,0.6893159798189604,0.7563025210084033,0,74,74,0.0,0.4776119402985075,0.0
2022-08-03 20:19:05,0.5972222222222222,,,0.4027777777777778,0.5972222222222222,0.6862465376012572,0.7478260869565218,0,72,72,0.0,0.44776119402985093,0.0
2022-08-03 20:24:05,0.6212121212121212,0.0,1.0,0.3787878787878788,0.6376811594202898,0.6782612331817581,0.7663551401869159,3,66,69,0.043478260869565216,0.4029850746268657,0.6413043478260869
2022-08-03 20:29:05,0.5692307692307692,0.0,1.0,0.4307692307692308,0.5757575757575758,0.6821980806243662,0.7254901960784313,1,65,66,0.015151515151515152,0.3582089552238805,0.22348484848484848
2022-08-03 20:34:05,0.65625,,,0.34375,0.65625,0.6761868461148342,0.7924528301886793,0,64,64,0.0,0.32835820895522383,0.0
2022-08-03 20:39:05,0.676056338028169,,,0.323943661971831,0.676056338028169,0.6738353670230598,0.8067226890756303,0,71,71,0.0,0.4328358208955225,0.0
2022-08-03 20:44:05,0.5588235294117647,0.0,1.0,0.4411764705882353,0.5833333333333334,0.6833317008110785,0.7169811320754716,4,68,72,0.05555555555555555,0.44776119402985093,0.8194444444444444
2022-08-03 20:49:05,0.6,,,0.4,0.6,0.6803890597081177,0.75,0,65,65,0.0,0.34328358208955223,0.0
2022-08-03 20:54:05,0.8571428571428571,,,0.14285714285714285,0.8571428571428571,0.6283041023468999,0.9230769230769231,0,42,42,0.0,0.0,0.0
2022-08-03 20:59:05,0.8333333333333334,,,0.16666666666666666,0.8333333333333334,0.6525419995146128,0.9090909090909091,0,60,60,0.0,0.26865671641791045,0.0
2022-08-03 21:04:05,0.7818181818181819,0.0,1.0,0.21818181818181817,0.7966101694915254,0.6388581899894786,0.8775510204081632,4,55,59,0.06779661016949153,0.25373134328358204,1.0
2022-08-03 21:09:05,0.8524590163934426,,,0.14754098360655737,0.8524590163934426,0.6376516098437323,0.9203539823008849,0,61,61,0.0,0.28358208955223874,0.0
2022-08-03 21:14:05,0.8103448275862069,,,0.1896551724137931,0.8103448275862069,0.6443648511576694,0.8952380952380953,0,58,58,0.0,0.23880597014925364,0.0
2022-08-03 21:19:05,0.8793103448275862,,,0.1206896551724138,0.8793103448275862,0.6392982077305784,0.9357798165137615,0,58,58,0.0,0.23880597014925364,0.0
2022-08-03 21:24:05,0.855072463768116,0.0,1.0,0.14492753623188406,0.863013698630137,0.6389490411624071,0.921875,4,69,73,0.0547945205479452,0.46268656716417933,0.8082191780821917
2022-08-03 21:29:05,0.828125,,,0.171875,0.828125,0.6318073158662434,0.905982905982906,0,64,64,0.0,0.32835820895522383,0.0
2022-08-03 21:34:05,0.8870967741935484,,,0.11290322580645161,0.8870967741935484,0.6297997577089759,0.9401709401709402,0,62,62,0.0,0.29850746268656714,0.0
2022-08-03 21:39:05,0.8375,0.0,1.0,0.1625,0.8414634146341463,0.6099029588096248,0.9115646258503401,2,80,82,0.024390243902439025,0.5970149253731345,0.3597560975609756
2022-08-03 21:44:05,0.8783783783783784,0.0,1.0,0.12162162162162163,0.881578947368421,0.6268514580993736,0.935251798561151,2,74,76,0.02631578947368421,0.5074626865671643,0.3881578947368421
2022-08-03 21:49:05,0.84,,,0.16,0.84,0.6220898881751916,0.9130434782608695,0,75,75,0.0,0.4925373134328359,0.0
2022-08-03 21:54:05,0.9875,0.0,1.0,0.0125,0.9876543209876543,0.5720320897762827,0.9937106918238994,1,80,81,0.012345679012345678,0.5820895522388061,0.18209876543209874
2022-08-03 21:59:05,0.9367088607594937,0.0,1.0,0.06329113924050633,0.9375,0.5645906169992209,0.9673202614379085,1,79,80,0.0125,0.5671641791044777,0.184375
2022-08-03 22:04:05,0.9583333333333334,0.0,1.0,0.041666666666666664,0.9594594594594594,0.575890214548908,0.9787234042553191,2,72,74,0.02702702702702703,0.4776119402985075,0.3986486486486487
2022-08-03 22:09:05,1.0,,,0.0,1.0,0.5769694146360069,1.0,0,72,72,0.0,0.44776119402985093,0.0
2022-08-03 22:14:05,0.9871794871794872,0.0,1.0,0.01282051282051282,0.9873417721518988,0.5661715319506456,0.9935483870967742,1,78,79,0.012658227848101266,0.5522388059701493,0.18670886075949367
2022-08-03 22:19:05,0.9591836734693877,0.0,1.0,0.04081632653061224,0.9595959595959596,0.5577116423174641,0.9791666666666666,1,98,99,0.010101010101010102,0.8507462686567167,0.148989898989899
2022-08-03 22:24:05,0.9622641509433962,0.0,1.0,0.03773584905660377,0.9629629629629629,0.5390810867777375,0.9807692307692307,2,106,108,0.018518518518518517,0.9850746268656716,0.27314814814814814
2022-08-03 22:29:05,0.9523809523809523,,,0.047619047619047616,0.9523809523809523,0.5069862870569032,0.975609756097561,0,84,84,0.0,0.6268656716417911,0.0
2022-08-03 22:34:05,0.9907407407407407,0.0,1.0,0.009259259259259259,0.9908256880733946,0.544684672424772,0.9953488372093023,1,108,109,0.009174311926605505,1.0,0.13532110091743121
2022-08-03 22:39:05,0.972972972972973,0.0,1.0,0.02702702702702703,0.9733333333333334,0.5391791383109437,0.9863013698630136,1,74,75,0.013333333333333334,0.4925373134328359,0.19666666666666668
