ex_address,in_address,timestamp,rcv_packet_count,snd_packet_count,tcp_count,udp_count,most_port,port_count,rcv_max_interval,rcv_min_interval,rcv_max_length,rcv_min_length,snd_max_interval,snd_min_interval,snd_max_length,snd_min_length,label
46.161.27.47,192.168.10.5,2022-08-17 08:54:37,1,3,4,0,3398,4,60.0,60.0,44,0,0.23057985305786133,0.023810148239135742,44,0,1
186.233.119.191,192.168.10.5,2022-08-17 08:54:43,75,60,135,0,22,135,22.43506097793579,0.003721952438354492,676,0,22.159717082977295,9.5367431640625e-07,492,0,1
194.87.71.134,192.168.10.5,2022-08-17 08:54:47,3,5,8,0,23,8,46.21569108963013,0.25797605514526367,60,0,45.959511041641235,0.2558870315551758,60,0,1
89.248.165.71,192.168.10.5,2022-08-17 08:54:56,1,3,4,0,19780,4,60.0,60.0,44,0,0.24605321884155273,0.030949831008911133,44,0,1
192.168.3.115,172.29.148.192,2022-08-17 08:54:59,0,12,12,0,55443,12,60.0,60.0,0,0,13.079550981521606,1.0003879070281982,60,0,0
185.7.214.117,192.168.10.5,2022-08-17 08:55:00,9,9,18,0,3000,18,1.007582187652588,0.290834903717041,60,0,1.2985079288482666,0.0002999305725097656,66,0,1
220.220.248.1,192.168.10.5,2022-08-17 08:55:03,11,11,0,22,48653,2,49.558815002441406,1.0997490882873535,75,0,49.561075925827026,1.066406011581421,91,0,1
160.44.201.156,192.168.10.5,2022-08-17 08:55:03,108,89,197,0,47274,22,48.451945066452026,0.010926008224487305,7094,0,48.44842290878296,9.5367431640625e-07,4136,0,1
167.94.138.152,192.168.10.5,2022-08-17 08:55:03,1,2,3,0,30443,3,60.0,60.0,44,0,0.2055680751800537,0.2055680751800537,44,0,1
185.156.73.91,192.168.10.5,2022-08-17 08:55:03,1,3,4,0,64789,4,60.0,60.0,44,0,0.22818493843078613,0.014281034469604492,44,0,1
167.94.138.117,192.168.10.5,2022-08-17 08:55:03,9,14,23,0,30443,23,1.2289788722991943,0.00010204315185546875,60,0,1.2520811557769775,0.00025081634521484375,295,0,1
66.240.236.119,192.168.10.5,2022-08-17 08:55:06,1,2,3,0,5006,3,60.0,60.0,44,0,0.1244969367980957,0.1244969367980957,44,0,1
61.177.172.104,192.168.10.5,2022-08-17 08:55:07,1,1,2,0,22,2,60.0,60.0,52,0,60.0,60.0,40,0,1
203.218.117.205,192.168.10.5,2022-08-17 08:55:08,5,6,11,0,5555,11,0.9642500877380371,0.0009000301361083984,199,0,1.070909023284912,0.005042076110839844,189,0,1
162.142.125.160,192.168.10.5,2022-08-17 08:55:08,1,2,3,0,30443,3,60.0,60.0,60,0,0.14267897605895996,0.14267897605895996,60,0,1
103.217.219.82,192.168.10.5,2022-08-17 08:55:09,14,11,25,0,22,25,0.9780800342559814,0.0008020401000976562,676,0,1.1501531600952148,0.0009028911590576172,492,0,1
51.79.250.5,192.168.10.5,2022-08-17 08:55:10,3,4,7,0,3389,7,0.07952094078063965,0.022259950637817383,59,0,0.10363006591796875,9.5367431640625e-07,83,0,1
14.225.198.175,192.168.10.5,2022-08-17 08:55:11,3,4,7,0,3389,7,0.09729194641113281,0.061055898666381836,59,0,0.1596510410308838,0.00029397010803222656,83,0,1
192.241.222.79,192.168.10.5,2022-08-17 08:55:20,6,9,15,0,443,15,0.3484930992126465,0.0012500286102294922,1385,0,0.22698211669921875,0.0014429092407226562,202,0,1
212.192.246.198,192.168.10.5,2022-08-17 08:55:23,9,8,17,0,25,17,0.2687687873840332,0.23603391647338867,112,0,0.26926088333129883,0.001138925552368164,52,0,1
14.17.114.113,192.168.10.5,2022-08-17 08:55:28,3,3,6,0,3389,6,0.22838187217712402,0.05386996269226074,59,0,0.26332807540893555,0.2284250259399414,83,0,1
186.233.119.191,192.168.10.5,2022-08-17 08:55:44,80,54,134,0,22,134,21.168784141540527,0.00014901161193847656,676,0,20.897222995758057,0.0005970001220703125,584,0,1
192.168.3.115,172.29.148.192,2022-08-17 08:55:59,0,8,8,0,55443,8,60.0,60.0,0,0,12.885540008544922,1.0073959827423096,60,0,0
160.44.201.156,192.168.10.5,2022-08-17 08:56:03,397,364,761,0,39010,29,0.5040891170501709,0.2575359344482422,12766,0,0.2993581295013428,9.5367431640625e-07,4136,0,1
220.220.248.1,192.168.10.5,2022-08-17 08:56:04,36,36,0,72,42422,2,1.3365540504455566,1.1760649681091309,75,0,1.3357551097869873,1.0459210872650146,91,0,1
14.63.219.105,192.168.10.5,2022-08-17 08:56:21,15,13,28,0,22,28,2.190721035003662,0.0006492137908935547,676,0,2.068513870239258,0.0014529228210449219,492,0,1
103.217.219.82,192.168.10.5,2022-08-17 08:56:25,14,11,25,0,22,25,0.9752471446990967,0.0008499622344970703,676,0,1.1105620861053467,0.0005087852478027344,492,0,1
202.38.68.66,192.168.10.5,2022-08-17 08:56:28,3,4,7,0,6000,7,1.1279630661010742,0.11961603164672852,60,0,1.1269829273223877,0.001171112060546875,60,0,1
101.32.75.144,192.168.10.5,2022-08-17 08:56:29,14,12,26,0,22,26,0.9795830249786377,0.0011479854583740234,676,0,1.0816149711608887,0.0005879402160644531,492,0,1
195.123.222.163,192.168.10.5,2022-08-17 08:56:35,6,1,7,0,80,7,16.23927402496338,1.0099740028381348,60,0,60.0,60.0,64,0,1
61.177.173.36,192.168.10.5,2022-08-17 08:56:45,12,11,23,0,22,23,0.7061810493469238,0.0009019374847412109,699,0,0.4908750057220459,0.0017440319061279297,908,0,1
198.235.24.140,192.168.10.5,2022-08-17 08:56:47,3,5,8,0,1433,8,2.3941550254821777,0.008538007736206055,83,0,30.015477895736694,0.2797060012817383,85,0,1
186.233.119.191,192.168.10.5,2022-08-17 08:56:56,45,34,79,0,22,79,22.426985025405884,0.0003979206085205078,676,0,22.144787073135376,0.00119781494140625,492,0,1
42.6.240.6,192.168.10.5,2022-08-17 08:57:01,5,8,13,0,23,13,40.442649126052856,0.13204002380371094,60,0,40.31090998649597,0.005936861038208008,60,0,1
116.58.22.218,192.168.10.5,2022-08-17 08:57:05,3,4,7,0,3389,7,0.4425349235534668,0.02480792999267578,59,0,0.4417381286621094,0.0008990764617919922,83,0,1
89.248.163.145,192.168.10.5,2022-08-17 08:57:08,2,6,8,0,8001,4,41.13938903808594,41.13938903808594,44,0,40.85008788108826,0.0071489810943603516,44,0,1
89.248.165.71,192.168.10.5,2022-08-17 08:57:09,1,3,4,0,14122,4,60.0,60.0,44,0,0.23322606086730957,0.051264047622680664,44,0,1
211.230.176.81,192.168.10.5,2022-08-17 08:57:12,4,7,11,0,23,11,30.86262011528015,0.040457963943481445,60,0,30.82061004638672,0.0389859676361084,60,0,1
220.220.248.1,192.168.10.5,2022-08-17 08:57:16,12,12,0,24,39971,2,49.51515293121338,1.121448040008545,75,0,49.5145480632782,0.2448420524597168,113,0,1
160.44.201.156,192.168.10.5,2022-08-17 08:57:16,117,101,218,0,39424,34,48.42917609214783,0.010934114456176758,7110,0,48.421629190444946,9.5367431640625e-07,4136,0,1
66.29.152.118,192.168.10.5,2022-08-17 08:57:20,16,13,29,0,22,29,0.980126142501831,0.0008990764617919922,676,0,1.4757277965545654,1.1920928955078125e-06,492,0,1
51.79.250.5,192.168.10.5,2022-08-17 08:57:24,3,3,6,0,3389,6,0.0783238410949707,0.022910118103027344,59,0,0.10368490219116211,0.07832503318786621,83,0,1
192.241.208.150,192.168.10.5,2022-08-17 08:57:28,1,1,2,0,587,2,60.0,60.0,40,0,60.0,60.0,44,0,1
193.57.40.49,192.168.10.5,2022-08-17 08:57:29,1,3,4,0,2823,4,60.0,60.0,44,0,0.24254417419433594,0.03933882713317871,44,0,1
101.32.75.144,192.168.10.5,2022-08-17 08:57:30,36,33,69,0,22,69,56.03441500663757,0.6108109951019287,676,0,55.95893096923828,0.0005929470062255859,492,0,1
138.197.152.128,192.168.10.5,2022-08-17 08:57:30,14,13,27,0,22,27,0.9779708385467529,0.0012478828430175781,676,0,1.1781649589538574,0.0006010532379150391,492,0,1
14.17.114.113,192.168.10.5,2022-08-17 08:57:31,3,4,7,0,3389,7,0.22503900527954102,0.061753034591674805,59,0,0.29312705993652344,9.5367431640625e-07,83,0,1
14.63.219.105,192.168.10.5,2022-08-17 08:57:32,15,14,29,0,22,29,0.9783749580383301,0.00049591064453125,676,0,1.0622968673706055,0.0014889240264892578,492,0,1
177.67.12.73,192.168.10.5,2022-08-17 08:57:34,6,8,14,0,23,14,40.70305299758911,0.0001499652862548828,60,0,40.3802809715271,0.0035400390625,60,0,1
171.22.30.153,192.168.10.5,2022-08-17 08:57:36,3,5,8,0,22,8,0.2496168613433838,0.24608802795410156,75,0,0.24965286254882812,0.0017931461334228516,60,0,1
185.156.74.58,192.168.10.5,2022-08-17 08:58:04,1,3,4,0,55275,4,60.0,60.0,44,0,0.22458791732788086,0.011931180953979492,44,0,1
186.233.119.191,192.168.10.5,2022-08-17 08:58:12,43,35,78,0,22,78,22.37287402153015,0.0008490085601806641,676,0,22.086127996444702,9.5367431640625e-07,492,0,1
160.44.201.156,192.168.10.5,2022-08-17 08:58:16,404,360,764,0,48094,27,0.31224703788757324,0.00011610984802246094,12766,0,0.31334900856018066,9.5367431640625e-07,4136,0,1
220.220.248.1,192.168.10.5,2022-08-17 08:58:16,39,40,0,79,35635,3,1.1692218780517578,1.1623470783233643,75,0,1.1945490837097168,9.5367431640625e-07,125,0,1
89.248.165.59,192.168.10.5,2022-08-17 08:58:17,1,3,4,0,52382,4,60.0,60.0,44,0,0.23412299156188965,0.036943912506103516,44,0,1
124.234.171.186,192.168.10.5,2022-08-17 08:58:24,7,9,16,0,65529,9,0.7073240280151367,0.04592180252075195,64,0,0.7533409595489502,0.0009069442749023438,60,0,1
89.248.165.52,192.168.10.5,2022-08-17 08:58:26,30,36,66,0,30001,34,31.01059103012085,0.0015609264373779297,60,0,30.7779757976532,9.5367431640625e-07,163,0,1
101.32.75.144,192.168.10.5,2022-08-17 08:58:30,82,61,143,0,22,143,52.797361850738525,0.00115203857421875,676,0,52.74688792228699,0.0002999305725097656,584,0,1
185.156.73.54,192.168.10.5,2022-08-17 08:58:31,1,3,4,0,8048,4,60.0,60.0,44,0,0.2257850170135498,0.0035910606384277344,44,0,1
167.248.133.139,192.168.10.5,2022-08-17 08:58:41,1,2,3,0,40000,3,60.0,60.0,44,0,0.15552997589111328,0.15552997589111328,44,0,1
167.248.133.45,192.168.10.5,2022-08-17 08:58:41,8,10,18,0,40000,18,1.1447560787200928,0.00015091896057128906,60,0,1.1531479358673096,0.001528024673461914,295,0,1
14.63.219.105,192.168.10.5,2022-08-17 08:58:42,14,11,25,0,22,25,0.9802169799804688,0.001046895980834961,676,0,1.0614039897918701,0.0005328655242919922,492,0,1
162.142.125.160,192.168.10.5,2022-08-17 08:58:46,2,4,6,0,40000,3,24.14389204978943,24.14389204978943,60,0,23.984395027160645,0.14507293701171875,60,0,1
192.168.10.4,192.168.10.5,2022-08-17 08:58:47,11,34,45,0,64297,45,5.039123058319092,0.0004508495330810547,3876,0,5.0390729904174805,6.9141387939453125e-06,575,0,1
89.248.163.145,192.168.10.5,2022-08-17 08:58:56,2,6,8,0,19070,4,2.670565128326416,2.670565128326416,44,0,2.4064321517944336,0.010429859161376953,44,0,1
167.94.138.150,192.168.10.5,2022-08-17 08:59:06,1,2,3,0,12084,3,60.0,60.0,44,0,0.1972339153289795,0.1972339153289795,44,0,1
167.94.138.63,192.168.10.5,2022-08-17 08:59:06,9,14,23,0,12084,23,1.2475309371948242,0.19065499305725098,60,0,1.168943166732788,0.0002989768981933594,295,0,1
195.123.222.163,192.168.10.5,2022-08-17 08:59:09,6,1,7,0,80,7,16.23951816558838,1.0111501216888428,60,0,60.0,60.0,64,0,1
185.7.214.117,192.168.10.5,2022-08-17 08:59:10,4,6,10,0,8088,10,1.0080900192260742,0.30441904067993164,60,0,1.3110630512237549,0.00024890899658203125,269,0,1
66.29.152.118,192.168.10.5,2022-08-17 08:59:22,15,12,27,0,22,27,0.9788510799407959,9.918212890625e-05,676,0,1.148393154144287,0.0006000995635986328,492,0,1
91.240.118.222,192.168.10.5,2022-08-17 08:59:23,2,4,6,0,23,6,0.2791249752044678,0.2791249752044678,52,0,2.4439711570739746,0.27730703353881836,52,0,1
212.192.246.198,192.168.10.5,2022-08-17 08:59:25,8,8,16,0,25,16,0.26827502250671387,0.00044798851013183594,112,0,0.2687208652496338,0.0002968311309814453,52,0,1
186.233.119.191,192.168.10.5,2022-08-17 08:59:27,44,33,77,0,22,77,23.234909057617188,0.0010600090026855469,676,0,22.931044101715088,0.0005979537963867188,492,0,1
138.197.152.128,192.168.10.5,2022-08-17 08:59:30,15,16,31,0,22,31,1.016052007675171,4.291534423828125e-05,676,0,1.1882681846618652,9.5367431640625e-07,492,0,1
220.220.248.1,192.168.10.5,2022-08-17 08:59:31,11,11,0,22,50243,2,49.555346965789795,1.1191251277923584,75,0,49.53396391868591,1.0727341175079346,91,0,1
160.44.201.156,192.168.10.5,2022-08-17 08:59:31,112,97,209,0,55194,31,48.47254204750061,0.01409912109375,9938,0,48.474292039871216,9.5367431640625e-07,4136,0,1
14.17.114.113,192.168.10.5,2022-08-17 08:59:35,3,3,6,0,3389,6,0.20942211151123047,0.0224609375,59,0,0.23352789878845215,0.20941805839538574,83,0,1
51.79.250.5,192.168.10.5,2022-08-17 08:59:37,3,3,6,0,3389,6,0.07763385772705078,0.06884002685546875,59,0,0.1489570140838623,0.07712984085083008,52,0,1
14.63.219.105,192.168.10.5,2022-08-17 08:59:45,93,70,163,0,22,163,0.9740908145904541,0.004575967788696289,676,0,1.0581209659576416,9.5367431640625e-07,584,0,1
194.26.29.86,192.168.10.5,2022-08-17 08:59:47,1,3,4,0,8430,4,60.0,60.0,44,0,0.29251980781555176,0.02618098258972168,44,0,1
180.149.125.168,192.168.10.5,2022-08-17 08:59:58,5,4,9,0,8090,9,1.0080358982086182,0.11556601524353027,60,0,1.1236660480499268,0.001157999038696289,261,0,1
193.201.9.147,192.168.10.5,2022-08-17 09:00:16,1,3,4,0,3351,4,60.0,60.0,44,0,0.2809569835662842,0.0008080005645751953,44,0,1
67.205.138.198,192.168.10.5,2022-08-17 09:00:18,2,3,5,0,29126,5,0.6041371822357178,0.6041371822357178,44,0,0.6002509593963623,0.004436016082763672,44,0,1
101.32.75.144,192.168.10.5,2022-08-17 09:00:24,30,24,54,0,22,54,56.16957902908325,0.0006449222564697266,676,0,56.11300086975098,0.0014369487762451172,492,0,1
162.209.190.2,192.168.10.5,2022-08-17 09:00:25,4,3,7,0,8123,7,1.1358959674835205,0.12246298789978027,44,0,1.1305019855499268,0.12834692001342773,44,0,1
160.44.201.156,192.168.10.5,2022-08-17 09:00:31,386,338,724,0,40298,26,0.29617905616760254,0.27585697174072266,11352,0,0.2964658737182617,9.5367431640625e-07,4136,0,1
220.220.248.1,192.168.10.5,2022-08-17 09:00:32,37,37,0,74,40275,2,1.2022571563720703,1.1252598762512207,75,0,1.2133429050445557,1.056912899017334,91,0,1
1.36.183.73,192.168.10.5,2022-08-17 09:00:34,7,9,16,0,5555,16,10.039764881134033,0.967397928237915,199,0,9.941174983978271,0.0026781558990478516,236,0,1
186.233.119.191,192.168.10.5,2022-08-17 09:00:42,45,35,80,0,22,80,22.17949414253235,0.0006949901580810547,676,0,21.894598960876465,0.00025582313537597656,492,0,1
14.63.219.105,192.168.10.5,2022-08-17 09:00:46,25,19,44,0,22,44,57.22741198539734,0.08296990394592285,676,0,57.18384122848511,0.0009059906005859375,492,0,1
61.177.172.19,192.168.10.5,2022-08-17 09:00:46,2,5,7,0,22,7,0.240556001663208,0.240556001663208,75,0,0.47785305976867676,0.0011959075927734375,908,0,1
208.67.106.226,192.168.10.5,2022-08-17 09:00:46,10,11,21,0,25,21,15.094628095626831,0.5884649753570557,112,0,14.703293085098267,0.009539127349853516,52,0,1
66.29.152.118,192.168.10.5,2022-08-17 09:00:50,15,11,26,0,22,26,0.9712510108947754,0.0005979537963867188,676,0,1.1358451843261719,0.0011949539184570312,492,0,1
85.114.131.220,192.168.10.5,2022-08-17 09:00:55,0,1,0,1,5060,1,60.0,60.0,0,0,60.0,60.0,445,0,1
138.197.152.128,192.168.10.5,2022-08-17 09:01:00,15,15,30,0,22,30,5.275434970855713,0.000347137451171875,676,0,5.082434177398682,0.0002608299255371094,492,0,1
61.164.49.126,192.168.10.5,2022-08-17 09:01:05,16,10,26,0,5900,26,2.3521621227264404,0.19099783897399902,68,0,4.8831398487091064,9.5367431640625e-07,68,0,1
51.38.75.3,192.168.10.5,2022-08-17 09:01:08,3,4,7,0,3389,7,0.23881816864013672,0.10088086128234863,59,0,0.3399491310119629,0.0008528232574462891,83,0,1
45.93.16.121,192.168.10.5,2022-08-17 09:01:09,1,3,4,0,5038,4,60.0,60.0,44,0,0.2154240608215332,0.004436969757080078,44,0,1
183.66.32.196,192.168.10.5,2022-08-17 09:01:18,0,1,0,1,1900,1,60.0,60.0,0,0,60.0,60.0,58,0,1
192.241.215.252,192.168.10.5,2022-08-17 09:01:22,1,1,2,0,631,2,60.0,60.0,40,0,60.0,60.0,44,0,1
185.7.214.117,192.168.10.5,2022-08-17 09:01:24,4,4,8,0,4506,8,1.3185601234436035,0.2915840148925781,60,0,1.301191806793213,0.2905271053314209,60,0,1
45.143.203.95,192.168.10.5,2022-08-17 09:01:30,1,3,4,0,33882,4,60.0,60.0,44,0,0.23565888404846191,0.01757216453552246,44,0,1
92.205.56.26,192.168.10.5,2022-08-17 09:01:30,3,3,6,0,7001,6,1.2901899814605713,0.41689515113830566,44,0,1.4251677989959717,0.28236818313598633,44,0,1
14.17.114.113,192.168.10.5,2022-08-17 09:01:39,3,4,7,0,3389,7,0.21295905113220215,0.05542397499084473,59,0,0.2657320499420166,0.0002911090850830078,83,0,1
61.177.173.49,192.168.10.5,2022-08-17 09:01:42,15,12,27,0,22,27,1.0073049068450928,0.0002491474151611328,699,0,2.003962993621826,1.1920928955078125e-06,908,0,1
195.123.222.163,192.168.10.5,2022-08-17 09:01:44,6,1,7,0,80,7,16.239466905593872,1.0093491077423096,60,0,60.0,60.0,64,0,1
183.136.225.9,192.168.10.5,2022-08-17 09:01:45,21,13,34,0,1471,34,6.582818031311035,0.19834089279174805,60,0,8.007461071014404,0.0002601146697998047,569,0,1
220.220.248.1,192.168.10.5,2022-08-17 09:01:45,13,13,0,26,54355,4,45.38311791419983,1.2876510620117188,75,0,45.38443994522095,9.5367431640625e-07,122,0,1
160.44.201.156,192.168.10.5,2022-08-17 09:01:45,108,90,198,0,47232,26,48.427157163619995,0.25426197052001953,8524,0,48.42501616477966,9.5367431640625e-07,4136,0,1
14.63.219.105,192.168.10.5,2022-08-17 09:01:46,18,14,32,0,22,32,57.4254310131073,0.0009028911590576172,676,0,57.38436412811279,0.0005950927734375,492,0,1
51.79.250.5,192.168.10.5,2022-08-17 09:01:55,3,4,7,0,3389,7,0.08451414108276367,0.037992000579833984,59,0,0.12279319763183594,0.0011599063873291016,83,0,1
186.233.119.191,192.168.10.5,2022-08-17 09:01:57,30,22,52,0,22,52,21.569236993789673,0.0002949237823486328,676,0,21.294322967529297,0.0011548995971679688,492,0,1
