accuracy,f1_score,precision,recall
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9985590778097982,1.0,0.998546511627907,0.9992727272727273
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.99867197875166,1.0,0.998661311914324,0.999330207635633
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9987012987012988,1.0,0.9986893840104849,0.999344262295082
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9975990396158463,1.0,0.9975816203143894,0.9987893462469734
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.998567335243553,1.0,0.9985549132947977,0.9992769342010123
1.0,1.0,1.0,1.0
0.9985029940119761,1.0,0.9984871406959153,0.9992429977289932
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9985250737463127,1.0,0.9985096870342772,0.9992542878448919
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9986522911051213,1.0,0.998639455782313,0.9993192648059904
0.9973718791064389,1.0,0.9973474801061007,0.99867197875166
1.0,1.0,1.0,1.0
0.9986486486486487,1.0,0.9986376021798365,0.9993183367416496
1.0,1.0,1.0,1.0
0.998371335504886,1.0,0.9983552631578947,0.9991769547325103
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9983361064891847,1.0,0.9983136593591906,0.99915611814346
0.9986033519553073,1.0,0.9985915492957746,0.9992952783650458
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9989384288747346,1.0,0.9989304812834224,0.9994649545211343
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9987515605493134,1.0,0.9987421383647799,0.9993706733794839
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9986928104575163,1.0,0.9986824769433466,0.999340804218853
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9984152139461173,1.0,0.9983948635634029,0.9991967871485944
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
