daytime,accuracy,loss,training_time,benign_count,malicious_count,flow_num
2022-08-06 10:51:35,1.0,0.0021031450014561415,0.038506269454956055,14,788,802
2022-08-06 11:51:35,1.0,0.00167570891790092,0.03908944129943848,12,797,809
2022-08-06 12:51:35,1.0,0.0018467071931809187,0.03806018829345703,13,707,720
2022-08-06 13:51:35,1.0,0.0014472687616944313,0.040285348892211914,12,739,751
2022-08-06 14:51:35,1.0,0.0013638708041980863,0.041083335876464844,12,662,674
2022-08-06 15:51:35,1.0,0.0014690584503114223,0.04331541061401367,12,835,847
2022-08-06 16:51:35,1.0,0.0017109864857047796,0.041162967681884766,13,1042,1055
2022-08-06 17:51:35,1.0,0.0014862226089462638,0.044855594635009766,12,829,841
2022-08-06 18:51:35,1.0,0.00112621090374887,0.047247886657714844,14,734,748
2022-08-06 19:51:35,1.0,0.000964260776527226,0.043701171875,12,966,978
2022-08-06 20:51:35,1.0,0.0007131346501410007,0.047055721282958984,12,1202,1214
2022-08-06 21:51:35,1.0,0.0008052987395785749,0.03921985626220703,14,947,961
2022-08-06 22:51:35,1.0,0.0008822884410619736,0.04096555709838867,12,995,1007
2022-08-06 23:51:35,1.0,0.0012365048751235008,0.06330537796020508,12,792,804
2022-08-07 00:51:35,1.0,0.0008801587973721325,0.04150080680847168,12,675,687
2022-08-07 01:51:35,1.0,0.0010766797931864858,0.05134987831115723,12,765,777
2022-08-07 02:51:35,1.0,0.0018008577171713114,0.0511777400970459,13,704,717
2022-08-07 03:51:35,1.0,0.0020637530833482742,0.04369854927062988,15,725,740
2022-08-07 04:51:35,1.0,0.0012070670491084456,0.042412757873535156,12,711,723
2022-08-07 05:51:35,1.0,0.001302279531955719,0.04044961929321289,14,723,737
2022-08-07 06:51:35,1.0,0.00143146188929677,0.043795108795166016,12,726,738
2022-08-07 07:51:35,1.0,0.0012358318781480193,0.04687690734863281,14,749,763
2022-08-07 08:51:35,1.0,0.0010688694892451167,0.045392751693725586,12,661,673
2022-08-07 09:51:35,1.0,0.0012524917256087065,0.045011043548583984,12,643,655
2022-08-07 10:51:35,1.0,0.0009568155510351062,0.051497697830200195,14,778,792
2022-08-07 11:51:35,1.0,0.0007959488430060446,0.04317498207092285,12,810,822
2022-08-07 12:51:35,1.0,0.0008064820431172848,0.04353952407836914,12,855,867
2022-08-07 13:51:35,0.9989680051803589,0.0022405076306313276,0.0391850471496582,12,957,969
2022-08-07 14:51:35,1.0,0.0008124071755446494,0.041217803955078125,12,796,808
2022-08-07 15:51:35,1.0,0.0009983766358345747,0.04327082633972168,16,840,856
2022-08-07 16:51:35,1.0,0.0010818097507581115,0.03921198844909668,12,893,905
2022-08-07 17:51:35,1.0,0.0007761572487652302,0.04168891906738281,12,693,705
2022-08-07 18:51:35,1.0,0.0010251012863591313,0.04745936393737793,14,714,728
2022-08-07 19:51:35,1.0,0.0005088618490844965,0.10202765464782715,12,714,726
2022-08-07 20:51:35,1.0,0.0009871472138911486,0.0787346363067627,13,594,607
2022-08-07 21:51:35,1.0,0.0005588039639405906,0.04356718063354492,12,673,685
2022-08-07 22:51:35,1.0,0.0009854895761236548,0.0402684211730957,12,636,648
2022-08-07 23:51:35,1.0,0.0012964671477675438,0.04046368598937988,14,820,834
2022-08-08 00:51:35,1.0,0.0007114088512025774,0.041135311126708984,12,791,803
2022-08-08 01:51:35,1.0,0.0006915925769135356,0.041208505630493164,12,624,636
2022-08-08 02:51:35,1.0,0.0006279705557972193,0.0392918586730957,12,734,746
2022-08-08 03:51:35,1.0,0.000748014950659126,0.047959089279174805,15,941,956
2022-08-08 04:51:35,1.0,0.0007324586040340364,0.03993821144104004,12,828,840
2022-08-08 05:51:35,1.0,0.000522154092323035,0.04440450668334961,12,750,762
2022-08-08 06:51:35,1.0,0.0006377878016792238,0.04053211212158203,12,778,790
